"societies_society_name","societies_society_state","societies_society_city","societies_society_meeting_info","societies_society_meeting_location","societies_society_zip_code","societies_society_website","societies_society_website_url"
"Acadian Orchid Society","Louisiana","Lafayette","3rd Monday, monthly. 7:00 pm","Ira Nelson Horticulture Center","70503","www.acadianorchidsociety.org","http://www.acadianorchidsociety.org/"
"Aiken Augusta Orchid Society","South Carolina","Evans","1st Sunday, even months starting in February, 3:00 pm","Club House at Brandon Wilde","30809","www.augustaorchidsociety.org","http://www.augustaorchidsociety.org/"
"Alabama Orchid Society","Alabama","Birmingham","4th Tuesday, monthly, 6:45 pm","Birmingham Botanical Gardens","35223-1802","",""
"Alamo Orchid Society","Texas","San Antonio","1st Wednesday, Monthly. 6:30PM","The San Antonio Garden Center","78209","https://sanantonioalamoorchidsociety.com/","https://sanantonioalamoorchidsociety.com/"
"Alaska Orchid Society","Alaska","Anchorage","4th Tuesday, monthly, 6:30 pm. BP Energy Center, September-May. Members’ garden tours during the summer","BP Energy Center","99508","www.akorchid.org","http://www.akorchid.org/"
"Amherst Orchid Society","Massachusetts","Amherst","3rd Sunday, monthly, except August and September, 2:00 pm","Munson Library on the South Amherst Common","01002","www.amherstorchidsociety.org","http://www.amherstorchidsociety.org/"
"Ann Arbor Orchid Society","Michigan","Ann Arbor","2nd or 4th Sunday, monthly, January thru May and September thru November, 2:00 pm","Matthaei Botanical Gardens","48105","www.aaosonline.org","http://www.aaosonline.org/"
"Arkansas Orchid Society","Arkansas","Little Rock","3rd Sunday, monthly, 1:30 pm","Christ Episcopal Church","72201","",""
"Asociacion Acostena de Orquideologia (ASACO)","Provincia de San José","San José","1st Saturday, monthly, Primer sabado de mes en Acosta Casa Grupo Giras, San Jose.","PO Box 879 - 2400","","",""
"Asociacion Alajuelense de Orquideologia","Provincia de Heredia","Santa Barbara","4th Monday, monthly","Aulas, Iglesia de la Agonia","2363009","Facebook - AAO Asociacion Alajuelense de Orquideologia","http://Facebook - AAO Asociacion Alajuelense de Orquideologia"
"Asociacion Altaverapacense de Orquideologia","","Coban A.V.","Third Saturday,monthly, 5:30 pm","Res. Sasay, Lote 110, Zona 9","16001","",""
"Asociacion Azuaya de Orquideologia","Provincia del Azuay","Cuenca","First Monday, monthly, 6:00 pm at the Pasamaneria Tosi, Cuenca, Ecuador.","Paseo 3 de Noviembre 4-129 y Cipreces","","",""
"Asociacion Bogotana de Orquideologia","Distrito Capital de Bogotá","Bogota","Monthly, PM","Asociacion Bogotana de Orquideologia","111121","www.asoabo.com","http://www.asoabo.com/"
